place_name,latitude,longitude
시작점,37.293544, 127.201396
누들,37.293878, 127.202993
릴리댄스,37.293465, 127.200255
랫츠트위스트,37.293017, 127.199921
판다월드,37.292977, 127.202817
버드파라다이스,37.293749, 127.204414
우주전투기, 37.291851, 127.201166
롤링엑스트레인, 37.293046, 127.201523
비룡열차,37.291768, 127.201676
아메리칸어드벤쳐,37.294610, 127.201211
콜럼버스대탐험,37.294567, 127.199281
로테이팅하우스,37.291510, 127.203002
오류, 37.544768, 127.044561
